Date,Ticker,Open,High,Low,Close_Price,Volume,RSI,MACD,Signal_Line,MACD_Hist,SMA_50,SMA_200,Vol_Pattern
17-06-2025,RELIANCE.NS,1442.24,1442.24,1420.13,1425.51,10366599,54.39,14.1,17.92,-3.82,1368.81,1320.71,Drying Up
18-06-2025,RELIANCE.NS,1424.31,1437.06,1420.03,1424.41,6681735,53.99,12.77,16.89,-4.1164,1372.42,1320.36,Drying Up
19-06-2025,RELIANCE.NS,1424.41,1434.17,1420.03,1427.6,10007230,55.02,11.84,15.88,-4.0369,1376.97,1320.04,Drying Up
20-06-2025,RELIANCE.NS,1425.31,1465.15,1422.42,1460.37,29010635,63.97,13.59,15.42,-1.829,1382.96,1319.77,Drying Up
23-06-2025,RELIANCE.NS,1447.22,1457.98,1436.26,1451.0,5989078,60.28,14.06,15.15,-1.0873,1388.43,1319.5,Drying Up
24-06-2025,RELIANCE.NS,1459.17,1469.13,1437.36,1445.03,16402744,57.98,13.79,14.88,-1.0849,1393.72,1319.18,Drying Up
25-06-2025,RELIANCE.NS,1458.18,1466.54,1454.69,1461.46,7525851,62.25,14.74,14.85,-0.1133,1398.67,1318.97,Drying Up
26-06-2025,RELIANCE.NS,1463.26,1492.84,1459.27,1489.35,14657893,68.15,17.53,15.39,2.146,1403.75,1318.87,Drying Up
27-06-2025,RELIANCE.NS,1493.44,1515.95,1490.95,1509.37,11117052,71.59,21.12,16.53,4.5869,1409.25,1318.98,Drying Up
30-06-2025,RELIANCE.NS,1507.78,1518.73,1490.05,1494.63,8409527,65.95,22.51,17.73,4.7849,1413.75,1319.16,Drying Up
01-07-2025,RELIANCE.NS,1494.63,1525.31,1494.13,1522.32,10368523,70.63,25.56,19.29,6.2637,1418.39,1319.49,Drying Up
02-07-2025,RELIANCE.NS,1522.32,1523.91,1502.7,1512.76,6361002,67.19,26.89,20.81,6.0761,1422.93,1319.78,Drying Up
03-07-2025,RELIANCE.NS,1514.75,1525.81,1506.98,1511.76,11283291,66.83,27.55,22.16,5.3866,1427.27,1320.11,Drying Up
04-07-2025,RELIANCE.NS,1517.94,1523.91,1511.16,1521.22,6603501,68.57,28.5,23.43,5.074,1431.76,1320.34,Drying Up
07-07-2025,RELIANCE.NS,1520.53,1538.65,1518.93,1535.37,7251074,71.03,30.05,24.75,5.301,1436.56,1320.69,Drying Up
08-07-2025,RELIANCE.NS,1529.89,1538.75,1524.11,1531.48,7171261,69.42,30.62,25.93,4.6919,1439.93,1321.02,Drying Up
09-07-2025,RELIANCE.NS,1530.59,1544.83,1504.09,1512.96,8870660,62.21,29.23,26.59,2.6455,1442.3,1321.25,Drying Up
10-07-2025,RELIANCE.NS,1513.65,1518.63,1501.5,1511.16,10047129,61.55,27.67,26.8,0.8673,1444.54,1321.52,Drying Up
11-07-2025,RELIANCE.NS,1505.99,1508.97,1484.37,1489.25,7234991,53.94,24.39,26.32,-1.9354,1446.04,1321.64,Drying Up
14-07-2025,RELIANCE.NS,1486.26,1494.03,1473.22,1477.8,10311846,50.43,20.62,25.18,-4.5616,1447.08,1321.63,Expanding
15-07-2025,RELIANCE.NS,1480.29,1490.55,1476.5,1479.49,8132454,50.94,17.57,23.66,-6.09,1448.37,1321.59,Expanding
16-07-2025,RELIANCE.NS,1467.14,1485.07,1465.65,1479.69,10409983,51.0,14.99,21.92,-6.9317,1449.96,1321.57,Expanding
17-07-2025,RELIANCE.NS,1481.48,1483.67,1468.04,1470.53,11854613,47.93,12.07,19.95,-7.8806,1451.34,1321.49,Expanding
18-07-2025,RELIANCE.NS,1478.89,1478.89,1463.26,1470.13,10296318,47.79,9.62,17.89,-8.2696,1453.31,1321.38,Drying Up
21-07-2025,RELIANCE.NS,1459.17,1470.13,1417.44,1422.92,22442744,35.15,3.82,15.07,-11.2559,1453.15,1320.89,Expanding
22-07-2025,RELIANCE.NS,1421.72,1426.2,1405.09,1407.18,20396320,32.1,-2.03,11.65,-13.6793,1453.09,1320.57,Expanding
23-07-2025,RELIANCE.NS,1420.33,1420.33,1408.77,1418.93,8354596,36.53,-5.64,8.19,-13.8373,1453.09,1320.37,Expanding
